student_id,age,gender,gpa,family_income,target_track,target_strand,created_at,assessment_mathematics,assessment_science,assessment_communication,assessment_critical_thinking,assessment_problem_solving,assessment_creativity,assessment_leadership,assessment_technical_knowledge,assessment_research,assessment_analysis,assessment_writing,assessment_practical_skills,assessment_analytical_thinking,assessment_business_acumen,assessment_empathy,assessment_adaptability,assessment_flexibility,assessment_programming,assessment_logical_thinking,assessment_technical_skills,assessment_hands_on,assessment_craftsmanship,assessment_mechanical_aptitude,assessment_attention_to_detail,assessment_organization,assessment_care_giving,assessment_environmental_awareness,assessment_patience,assessment_physical_stamina,assessment_observation,interests,hobbies,work_preferences
STU_24569,17,Female,3.14,Middle,Academic,ABM – Accountancy Business and Management,2025-06-14 19:31:55.846556,83.1,62.3,67.0,74.9,46.8,61.4,93.6,73.9,60.5,78.4,74.2,70.1,50.7,74.1,28.9,62.3,58.8,77.0,65.4,80.0,49.5,77.1,52.1,71.7,38.1,63.5,30.2,56.0,66.6,52.2,"variety,environment,economics,politics,history","gardening,fishing,building,math_puzzles,robotics,investing,crafting,reading_business,animal_care,debating","caring,environmental,flexible,innovative,research_oriented,competitive,hands_on,collaborative,creative,meaningful_work,outdoor_work"
STU_32719,15,Female,3.05,Low,Academic,ABM – Accountancy Business and Management,2025-02-02 19:31:55.846598,90.5,58.4,77.1,60.6,99.6,77.3,93.6,66.5,62.5,58.0,49.8,52.8,31.9,70.4,30.3,59.4,72.3,76.6,66.2,45.5,31.0,33.6,41.0,46.7,57.6,44.8,65.1,56.5,60.2,77.1,"variety,software,business,sustainability,nutrition,building,learning,agriculture,technology,finance","fishing,tech_projects,sewing,computer_building,planning,metalworking,woodworking,networking,reading","exploratory,environmental,adaptable,competitive,collaborative,diverse,helping_others,leadership,meaningful_work,independent,service_oriented"
STU_35022,16,Female,3.3,Middle,Academic,ABM – Accountancy Business and Management,2025-07-02 19:31:55.846641,86.2,59.8,78.7,73.3,73.2,45.8,80.2,64.2,55.9,87.9,64.2,87.5,37.0,80.8,46.4,69.1,35.7,65.2,50.5,49.0,38.3,53.0,76.3,59.6,69.4,85.0,64.0,51.6,67.0,51.8,"variety,flexibility,entrepreneurship,business,innovation,diverse_fields,fashion,economics,nature,finance","gardening,cooking,sewing,investing,reading_business,planning,coding,networking,debating,science_experiments","caring,environmental,competitive,practical,analytical,diverse,leadership,creative,goal_oriented"
STU_90295,16,Male,3.52,Low,Academic,ABM – Accountancy Business and Management,2025-05-09 19:31:55.846683,66.8,73.9,78.1,62.7,44.5,66.5,74.4,57.9,73.2,89.9,59.7,33.5,100.0,99.5,70.8,48.7,58.3,51.8,79.0,63.9,48.2,52.9,76.8,84.0,82.9,71.4,56.2,11.4,64.5,60.0,"digital_media,business,sustainability,nutrition,building,management,family_care,economics,politics,construction,finance","fishing,cooking,various_activities,volunteering,investing,writing,reading_business,coding,repair_work,networking,debating","competitive,analytical,skill_based,collaborative,leadership,creative,goal_oriented,outdoor_work"
STU_86529,18,Male,3.3,Low,Academic,ABM – Accountancy Business and Management,2025-04-30 19:31:55.846726,82.5,40.1,87.6,69.5,70.2,74.2,88.0,53.8,58.9,82.9,61.6,75.0,69.7,100.0,93.1,61.2,2.5,78.6,51.9,48.0,54.0,53.3,69.2,36.6,43.8,65.1,69.3,69.6,48.2,45.3,"entrepreneurship,business,sustainability,management,social_issues,economics,politics,mechanics,finance,networking","cooking,building,investing,planning,metalworking,repair_work,networking,app_development,animal_care,debating","caring,exploratory,flexible,competitive,physical,hands_on,collaborative,leadership,creative,goal_oriented"
STU_20026,15,Male,3.05,Low,Academic,ABM – Accountancy Business and Management,2025-05-19 19:31:55.846769,84.4,82.3,61.5,56.7,40.0,35.2,91.7,68.2,66.7,91.2,52.8,53.5,92.8,79.5,71.0,60.1,32.3,29.3,51.3,75.8,71.8,73.7,45.2,84.2,45.5,63.2,59.8,57.4,80.1,49.4,"entrepreneurship,business,innovation,building,economics,technology,history","farming,tech_projects,sewing,investing,crafting,planning,networking","exploratory,competitive,physical,hands_on,collaborative,physical_work,goal_oriented,outdoor_work,sustainable"
STU_14790,18,Female,4.0,Middle,Academic,ABM – Accountancy Business and Management,2025-08-06 19:31:55.846810,82.2,54.0,100.0,70.1,53.9,44.2,63.2,44.6,61.7,96.3,76.8,63.4,55.2,84.7,52.2,85.8,57.2,58.7,26.8,57.1,72.5,44.0,48.7,71.9,37.9,75.9,52.0,54.2,43.1,65.7,"flexibility,entrepreneurship,business,management,manufacturing,economics,finance","cooking,tech_projects,computer_building,investing,outdoor_activities,reading_business,coding,debating","adaptable,competitive,skill_based,hands_on,collaborative,leadership,technical,detail_oriented,service_oriented"
STU_38633,15,Male,4.0,Low,Academic,ABM – Accountancy Business and Management,2025-05-21 19:31:55.846852,89.8,47.0,93.4,55.2,80.6,72.1,52.6,44.9,74.2,83.5,44.6,50.5,31.4,81.1,93.2,72.1,92.9,73.2,75.4,89.6,65.7,57.2,75.5,81.8,52.8,49.2,62.1,72.5,72.0,38.6,"entrepreneurship,software,business,nutrition,social_issues,diverse_fields,economics,food_production,finance,history","investing,gaming,outdoor_activities,decorating,networking,app_development,debating","adaptable,competitive,physical,analytical,hands_on,collaborative,helping_others,leadership,goal_oriented,challenging,sustainable"
STU_13527,17,Other,3.53,Middle,Academic,ABM – Accountancy Business and Management,2025-04-12 19:31:55.846894,75.6,56.0,73.0,100.0,63.6,47.2,90.6,71.5,57.2,90.4,47.6,52.6,29.8,68.8,87.1,84.6,61.0,84.9,57.6,56.3,60.8,58.1,56.8,77.2,62.3,70.7,75.5,65.8,45.4,39.7,"entrepreneurship,engineering,business,innovation,management,economics","gardening,fishing,robotics,investing,crafting,gaming,planning,woodworking,networking,debating,reading","exploratory,flexible,research_oriented,competitive,hands_on,collaborative,helping_others,leadership,creative,goal_oriented,meaningful_work,service_oriented"
STU_75002,18,Female,3.56,Low,Academic,ABM – Accountancy Business and Management,2025-01-14 19:31:55.846947,80.3,61.3,81.8,98.8,40.0,30.2,85.3,54.4,64.7,87.8,79.3,37.4,51.6,86.3,71.6,92.9,74.3,59.1,46.6,51.5,51.1,69.8,63.9,40.1,53.5,73.2,65.3,68.5,65.7,84.4,"digital_media,innovation,cooking,environment,management,economics,construction,exploration,finance","learning_new_things,fishing,investing,writing,reading_business,planning,networking,debating,science_experiments","adaptable,innovative,competitive,hands_on,collaborative,diverse,helping_others,physical_work,leadership,independent"
STU_79715,16,Male,3.52,High,Academic,ABM – Accountancy Business and Management,2025-08-26 19:31:55.846989,78.1,46.3,84.5,23.4,57.2,56.9,68.4,46.1,72.1,84.3,61.5,64.6,61.4,94.4,61.9,38.1,84.5,65.6,51.2,41.2,65.9,58.2,83.6,54.8,47.4,73.4,73.9,62.5,70.1,59.4,"entrepreneurship,management,economics,nature,computers","gardening,cooking,tech_projects,sewing,computer_building,investing,reading_business,networking,debating","caring,competitive,skill_based,goal_oriented"
STU_86739,18,Male,3.41,High,Academic,ABM – Accountancy Business and Management,2025-05-27 19:31:55.847031,93.6,69.4,80.3,80.3,24.5,90.8,64.9,50.6,59.4,80.5,75.1,44.1,63.9,76.2,64.4,59.0,61.4,51.8,52.3,64.3,74.2,51.0,47.0,69.2,59.5,72.5,46.4,33.3,52.0,48.5,"variety,entrepreneurship,cooking,management,psychology,experimentation,fashion,economics,exploration,finance,research","learning_new_things,gardening,farming,volunteering,investing,woodworking,repair_work,networking,debating","caring,exploratory,environmental,adaptable,competitive,leadership,goal_oriented"
STU_37953,16,Other,3.57,Low,Academic,ABM – Accountancy Business and Management,2024-12-30 19:31:55.847073,75.6,71.1,79.1,62.3,62.4,62.9,81.8,67.7,48.1,96.0,56.5,40.3,62.8,73.5,70.0,93.1,48.2,65.0,33.7,66.8,46.7,50.6,43.5,71.0,75.1,60.4,47.0,83.8,48.7,27.6,"entrepreneurship,digital_media,business,literature,management,web_development,finance","cooking,sewing,reading_business,planning,debating,cultural_activities","exploratory,innovative,competitive,skill_based,collaborative,leadership,goal_oriented"
STU_71916,16,Other,3.31,High,Academic,ABM – Accountancy Business and Management,2025-08-30 19:31:55.847115,71.0,74.8,78.2,69.1,81.0,41.9,76.3,58.9,83.1,75.4,51.1,67.2,51.3,83.5,36.7,93.2,39.8,55.2,59.5,88.7,40.1,89.8,71.4,66.3,45.2,68.6,49.1,79.0,45.4,58.3,"entrepreneurship,literature,management,social_issues,psychology,diverse_fields,economics,construction,agriculture,computers,technology,finance,interior_design","learning_new_things,farming,investing,planning,networking,debating,cultural_activities","environmental,competitive,skill_based,collaborative,helping_others,leadership,goal_oriented,meaningful_work,detail_oriented,independent"
STU_40218,16,Male,2.95,Low,Academic,ABM – Accountancy Business and Management,2025-05-15 19:31:55.847159,72.1,71.1,87.4,78.1,33.3,76.0,100.0,53.2,88.4,79.4,39.4,55.4,75.7,73.6,51.0,68.9,60.0,68.8,63.6,67.2,53.5,63.5,46.1,79.3,50.5,76.9,56.5,63.0,52.6,44.8,"digital_media,engineering,business,literature,psychology,economics,technology,finance","fishing,tech_projects,building,investing,writing,gaming,outdoor_activities,planning,traveling,debating,science_experiments","research_oriented,competitive,practical,analytical,collaborative,diverse,physical_work,leadership,meaningful_work"
STU_65129,17,Other,3.54,Middle,Academic,ABM – Accountancy Business and Management,2025-03-11 19:31:55.847201,71.4,55.1,84.1,75.2,53.3,46.8,67.6,67.2,80.7,94.7,70.6,69.6,85.5,85.3,69.7,55.2,39.6,49.7,59.9,60.9,88.9,61.2,77.7,53.5,55.3,40.1,48.9,67.9,60.1,74.1,"flexibility,entrepreneurship,business,sustainability,management,psychology,web_development,economics,construction,agriculture,finance","exploring,sewing,investing,crafting,reading_business,app_development,debating,cultural_activities","competitive,practical,skill_based,collaborative,helping_others,leadership,technical,outdoor_work,independent,service_oriented"
STU_21975,17,Other,4.0,High,Academic,ABM – Accountancy Business and Management,2024-12-30 19:31:55.847243,78.5,92.2,81.1,77.4,54.0,70.6,91.3,63.1,24.7,82.2,78.5,67.9,66.7,64.8,49.2,66.2,66.2,78.2,57.8,66.1,60.2,45.2,26.2,66.5,62.6,50.7,35.7,69.4,56.0,68.4,"entrepreneurship,engineering,software,business,politics,nature,computers,finance","volunteering,investing,writing,gaming,reading_business,planning,app_development,cultural_activities","adaptable,competitive,practical,analytical,collaborative,physical_work,creative,goal_oriented,independent"
STU_99204,16,Other,3.66,Middle,Academic,ABM – Accountancy Business and Management,2025-02-08 19:31:55.847286,60.6,49.5,79.9,81.8,35.5,89.0,83.4,58.6,57.0,77.6,75.7,44.0,65.2,78.2,48.6,98.8,66.3,69.2,77.1,38.7,86.3,22.4,48.5,53.1,68.7,63.3,57.5,59.8,45.3,37.5,"entrepreneurship,engineering,business,environment,management,economics,construction,computers,technology,finance,research","math_puzzles,investing,outdoor_activities,reading_business,planning,app_development,debating,reading","caring,research_oriented,competitive,physical,collaborative,physical_work,leadership,goal_oriented,independent,service_oriented"
STU_68846,17,Female,3.54,Low,Academic,ABM – Accountancy Business and Management,2025-04-26 19:31:55.847327,88.9,83.8,74.1,70.4,55.7,77.9,92.2,63.2,54.9,91.6,69.7,49.7,40.1,79.1,82.7,77.2,43.3,42.5,79.1,43.0,67.6,50.8,84.3,48.4,77.2,62.8,63.8,30.4,27.0,56.7,"entrepreneurship,business,innovation,cooking,management,social_issues,learning,analysis,economics,agriculture,computers,finance,research","learning_new_things,farming,building,investing,reading_business,planning,woodworking,coding,repair_work,networking,animal_care","innovative,competitive,practical,analytical,collaborative,helping_others,goal_oriented,meaningful_work,technical,detail_oriented"
STU_81615,16,Other,3.04,Middle,Academic,ABM – Accountancy Business and Management,2025-03-09 19:31:55.847377,70.7,43.7,87.6,68.4,57.9,71.7,70.3,54.7,84.7,82.7,61.9,94.6,39.0,90.0,85.0,55.1,72.9,45.3,49.7,65.8,72.0,76.8,83.5,59.0,77.9,54.9,73.5,63.1,66.7,66.4,"entrepreneurship,diverse_fields,learning,experimentation,economics,politics,finance","learning_new_things,exploring,farming,planning,metalworking,woodworking,coding,networking,animal_care,debating,cultural_activities","environmental,flexible,competitive,analytical,collaborative,helping_others,leadership,goal_oriented,technical"
STU_41745,16,Female,3.49,Middle,Academic,ABM – Accountancy Business and Management,2025-06-19 19:31:55.847419,70.8,61.5,65.1,72.5,73.1,64.9,70.8,80.7,90.6,83.5,67.7,63.0,68.0,80.8,59.5,73.6,95.2,39.0,58.4,42.3,83.9,51.2,38.4,69.6,86.2,70.0,63.1,66.1,81.2,46.9,"flexibility,entrepreneurship,business,management,fashion,agriculture,finance,networking","farming,cooking,various_activities,sewing,math_puzzles,investing,reading_business,planning,networking,animal_care,debating","innovative,competitive,skill_based,hands_on,collaborative,physical_work,leadership,technical,outdoor_work,service_oriented"
STU_51078,16,Male,3.9,Middle,Academic,ABM – Accountancy Business and Management,2025-05-20 19:31:55.847461,77.5,42.5,78.7,76.6,68.5,69.7,83.5,67.8,48.0,78.9,62.9,64.2,64.8,80.6,54.3,100.0,73.6,66.2,56.5,53.2,58.0,64.4,31.8,36.5,50.4,63.1,56.4,82.2,37.8,48.7,"variety,entrepreneurship,business,nutrition,management,agriculture,exploration,finance","gardening,exploring,farming,fishing,various_activities,networking,app_development,debating,cultural_activities","caring,exploratory,competitive,collaborative,helping_others,leadership"
STU_60462,18,Male,3.25,Low,Academic,ABM – Accountancy Business and Management,2025-02-05 19:31:55.847505,83.3,73.3,100.0,49.6,58.5,55.9,62.5,55.3,73.2,87.4,69.3,54.4,50.2,94.7,52.5,64.4,62.5,81.9,74.6,40.6,42.2,68.7,59.0,53.2,75.2,62.8,60.8,71.7,54.4,83.5,"variety,entrepreneurship,business,nutrition,social_issues,diverse_fields,manufacturing,fashion,economics,computers,finance,networking","farming,tech_projects,building,various_activities,investing,reading_business,metalworking,repair_work,baking,debating","research_oriented,competitive,physical,practical,hands_on,diverse"
STU_50448,15,Male,3.63,Middle,Academic,ABM – Accountancy Business and Management,2025-07-20 19:31:55.847546,88.6,81.5,68.2,54.8,77.1,77.4,80.3,49.0,74.3,93.8,42.5,41.9,63.4,88.3,55.5,70.2,49.3,28.3,53.6,60.9,55.9,42.6,32.8,52.3,73.5,78.8,77.8,47.8,42.7,67.4,"entrepreneurship,digital_media,literature,management,social_issues,economics,finance,history","fishing,volunteering,reading_business,planning,decorating,networking,reading","competitive,analytical,skill_based,collaborative,diverse,goal_oriented,meaningful_work"
STU_78648,18,Male,3.66,Low,Academic,ABM – Accountancy Business and Management,2025-03-12 19:31:55.847588,86.0,29.8,73.3,59.6,67.3,71.5,83.4,65.0,61.3,88.9,64.7,61.0,56.0,82.8,67.3,64.0,65.7,80.1,64.0,50.3,73.3,39.5,43.8,65.0,67.7,41.3,54.3,50.9,52.7,74.2,"entrepreneurship,business,building,management,learning,manufacturing,experimentation,economics,technology,finance,research","investing,reading_business,planning,decorating,woodworking,networking,baking,reading","adaptable,competitive,practical,hands_on,collaborative,leadership,goal_oriented,meaningful_work"
STU_71247,16,Female,3.78,High,Academic,ABM – Accountancy Business and Management,2025-04-13 19:31:55.847632,81.8,51.8,68.5,81.3,68.9,49.4,89.2,58.9,55.7,86.4,48.9,54.8,61.8,77.0,70.0,88.0,48.7,35.0,30.0,57.7,50.1,63.1,62.0,36.0,32.8,64.4,62.0,53.6,35.1,67.1,"management,finance","farming,computer_building,investing,reading_business,planning,coding,networking,baking,cultural_activities","caring,flexible,competitive,physical,practical,hands_on,collaborative,helping_others,leadership,goal_oriented,meaningful_work,technical,detail_oriented"
STU_79168,18,Male,3.58,High,Academic,ABM – Accountancy Business and Management,2025-05-22 19:31:55.847673,84.8,47.3,82.4,39.5,75.9,61.2,64.3,55.5,66.9,78.7,55.9,41.6,68.5,75.5,27.7,54.4,74.7,54.2,86.1,66.4,65.1,58.1,59.0,56.0,55.5,68.0,46.0,43.9,43.2,90.7,"business,management,psychology,family_care,experimentation,analysis,economics,agriculture,finance","learning_new_things,gardening,gaming,debating","exploratory,physical,analytical,leadership,creative,goal_oriented"
STU_26311,15,Female,3.34,Middle,Academic,ABM – Accountancy Business and Management,2024-09-14 19:31:55.847715,85.0,44.1,88.2,58.3,63.2,45.4,83.6,53.6,48.5,89.3,36.9,68.5,70.3,73.2,47.7,56.7,64.2,57.7,66.5,86.4,52.4,34.3,72.4,85.2,65.9,43.7,58.1,43.2,69.6,39.7,"entrepreneurship,management,social_issues,diverse_fields,manufacturing,experimentation,web_development,economics,exploration,finance,interior_design","cooking,tech_projects,volunteering,investing,writing,planning,decorating,repair_work,networking","caring,research_oriented,competitive,analytical,skill_based,collaborative,diverse,leadership,goal_oriented"
STU_90700,16,Female,3.73,Middle,Academic,ABM – Accountancy Business and Management,2025-08-15 19:31:55.847763,72.0,61.9,78.3,62.7,60.3,45.2,88.3,59.3,45.2,100.0,67.1,57.7,81.2,100.0,57.8,65.2,45.2,57.8,57.0,62.8,65.0,68.4,63.6,41.8,45.9,51.8,55.8,75.8,42.6,54.6,"variety,business,management,experimentation,construction,food_production","fishing,cooking,investing,reading_business,planning,networking,debating","competitive,collaborative,leadership,goal_oriented,outdoor_work,detail_oriented"
STU_21533,17,Other,3.38,Middle,Academic,ABM – Accountancy Business and Management,2025-08-17 19:31:55.847807,79.0,66.9,80.6,63.9,56.6,70.0,66.5,54.6,64.4,87.3,82.4,54.1,82.2,75.4,79.9,72.3,46.3,64.6,59.2,69.4,56.7,55.4,80.5,58.5,72.4,56.6,85.0,49.8,50.8,82.9,"variety,flexibility,entrepreneurship,business,environment,management,economics,nature,finance,research","gardening,building,investing,reading_business,planning,networking,cultural_activities","exploratory,flexible,innovative,competitive,skill_based,collaborative,helping_others,goal_oriented"
STU_33863,15,Other,3.5,High,Academic,ABM – Accountancy Business and Management,2025-06-24 19:31:55.847849,98.0,73.4,80.5,32.8,59.7,61.5,93.7,83.8,49.7,90.0,71.5,76.1,67.5,62.6,57.7,42.7,57.0,74.7,64.6,77.2,65.1,40.5,22.2,62.2,56.8,45.3,34.5,49.0,57.1,70.0,"entrepreneurship,engineering,business,literature,innovation,management,learning,economics,finance","learning_new_things,gardening,fishing,volunteering,investing,reading_business,planning,networking,debating","research_oriented,competitive,skill_based,collaborative,diverse,leadership"
STU_62718,16,Other,3.14,Low,Academic,ABM – Accountancy Business and Management,2025-08-14 19:31:55.847892,98.1,44.5,90.8,60.7,70.4,53.5,92.7,64.4,49.8,81.9,56.4,67.3,42.3,81.7,65.9,60.5,80.2,71.6,59.9,63.3,64.4,66.0,32.6,55.5,37.7,79.2,59.1,57.1,73.5,66.3,"entrepreneurship,business,nutrition,management,social_issues,economics","exploring,fishing,crafting,writing,reading_business,planning,woodworking,repair_work,networking,debating,cultural_activities","competitive,leadership,technical,sustainable"
STU_34592,16,Female,3.42,Middle,Academic,ABM – Accountancy Business and Management,2024-11-13 19:31:55.847934,81.3,55.0,64.6,49.6,57.2,58.3,67.2,77.3,58.5,82.4,66.0,48.2,66.8,78.3,46.6,68.6,82.4,70.9,73.8,52.2,36.0,82.4,90.8,83.1,55.0,42.7,44.0,34.7,58.4,84.1,"entrepreneurship,business,management,diverse_fields,fashion,economics,agriculture,computers,finance,interior_design","farming,sewing,volunteering,investing,outdoor_activities,reading_business,planning,metalworking,traveling,debating","innovative,competitive,physical,helping_others,leadership,goal_oriented,challenging,service_oriented,sustainable"
STU_73979,16,Other,3.45,Middle,Academic,ABM – Accountancy Business and Management,2024-11-06 19:31:55.847976,85.0,80.6,78.0,90.5,89.9,58.0,76.2,70.5,54.8,70.4,79.2,78.2,62.3,69.4,41.6,61.6,52.5,54.9,75.3,71.0,80.7,45.1,54.9,71.4,66.7,83.0,66.3,87.7,68.1,75.9,"digital_media,business,innovation,management,learning,mechanics,construction,food_production,finance,networking,research","tech_projects,computer_building,robotics,investing,planning,metalworking,networking,app_development,traveling,debating","caring,flexible,competitive,collaborative,helping_others,leadership,creative,goal_oriented"
STU_97846,18,Female,3.38,Middle,Academic,ABM – Accountancy Business and Management,2024-10-26 19:31:55.848021,82.1,73.7,98.1,70.9,58.8,80.7,60.1,38.7,70.2,82.1,69.1,61.0,68.6,73.9,68.6,74.9,78.3,90.2,63.7,64.1,37.2,52.0,57.1,75.8,50.8,71.9,60.0,57.3,63.7,54.1,"entrepreneurship,business,management,learning,economics,agriculture,food_production,finance,networking,history","farming,tech_projects,building,robotics,investing,writing,reading_business,coding,repair_work,debating,cultural_activities","exploratory,adaptable,innovative,competitive,collaborative,leadership,goal_oriented,challenging,technical,independent,service_oriented"
STU_26454,18,Female,3.36,Low,Academic,ABM – Accountancy Business and Management,2024-09-26 19:31:55.848067,65.0,56.3,77.2,52.3,66.3,69.9,84.3,74.9,68.6,79.0,53.1,64.7,68.6,96.0,77.9,51.9,58.5,70.1,76.0,74.1,59.0,41.2,45.0,64.1,65.1,43.5,60.7,69.5,42.7,76.6,"flexibility,entrepreneurship,digital_media,management,economics,exploration,finance,networking","learning_new_things,sewing,investing,planning,woodworking,repair_work,networking,debating,science_experiments,cultural_activities","exploratory,adaptable,flexible,competitive,physical,collaborative,diverse,leadership,goal_oriented,challenging"
STU_48679,15,Female,3.71,Low,Academic,ABM – Accountancy Business and Management,2025-05-09 19:31:55.848109,94.6,52.0,71.7,53.1,58.6,54.2,79.8,65.0,57.4,81.3,34.4,65.9,58.7,98.1,45.9,32.9,69.3,65.2,44.9,37.1,83.1,81.2,22.7,53.1,85.0,52.9,52.6,55.8,43.2,34.4,"entrepreneurship,business,nutrition,management,economics,finance","learning_new_things,exploring,farming,computer_building,robotics,planning,metalworking,networking,debating,science_experiments","adaptable,flexible,competitive,practical,analytical,collaborative,helping_others,goal_oriented,outdoor_work,service_oriented"
STU_70732,15,Other,2.92,Middle,Academic,ABM – Accountancy Business and Management,2025-05-31 19:31:55.848157,63.6,63.7,90.9,38.2,46.1,78.2,87.3,50.7,78.0,94.1,64.0,46.5,53.8,84.9,57.2,74.1,37.1,37.6,62.7,52.6,50.6,33.5,60.3,59.2,69.8,61.0,58.0,77.7,40.3,68.0,"entrepreneurship,sustainability,social_issues,experimentation,economics,construction,agriculture,interior_design","gardening,fishing,volunteering,investing,crafting,outdoor_activities,reading_business,planning,woodworking,coding,networking,baking,debating","exploratory,competitive,practical,skill_based,hands_on,collaborative,helping_others,leadership,creative"
STU_66937,16,Female,3.93,High,Academic,ABM – Accountancy Business and Management,2024-09-05 19:31:55.848200,73.6,41.8,89.8,59.0,59.8,43.4,79.0,48.5,65.8,72.1,79.9,34.9,47.9,98.8,53.5,40.3,63.3,52.9,47.5,43.6,100.0,56.2,31.1,82.4,69.2,48.5,46.0,70.1,56.3,31.1,"entrepreneurship,business,literature,management,social_issues,psychology,learning,manufacturing,web_development,analysis,computers,food_production","learning_new_things,farming,fishing,investing,reading_business,planning,networking,traveling,cultural_activities,reading","exploratory,flexible,practical,collaborative,leadership,goal_oriented,meaningful_work,sustainable"
STU_28659,16,Female,3.12,High,Academic,ABM – Accountancy Business and Management,2025-06-23 19:31:55.848243,77.7,82.4,94.8,45.0,75.5,50.2,63.3,53.6,66.0,77.4,55.4,77.2,61.6,73.6,70.5,63.0,22.2,66.4,65.9,60.3,73.4,49.9,65.0,36.5,66.1,89.3,45.1,48.6,49.3,61.9,"entrepreneurship,software,business,family_care,manufacturing,economics,agriculture,exploration,finance","fishing,tech_projects,investing,reading_business,networking,debating","caring,environmental,adaptable,innovative,competitive,physical,analytical,collaborative,leadership,goal_oriented,service_oriented,sustainable"
STU_36119,15,Other,3.87,Low,Academic,ABM – Accountancy Business and Management,2025-07-03 19:31:55.848286,86.2,72.7,87.3,33.5,74.9,74.1,90.3,65.6,63.3,92.3,88.9,45.7,76.2,81.1,58.1,37.0,55.7,45.0,53.0,43.5,53.3,53.9,61.5,35.8,38.3,65.4,48.0,76.1,63.4,69.1,"flexibility,management,economics,agriculture,finance,interior_design","building,investing,crafting,outdoor_activities,planning,coding,repair_work,networking,app_development,traveling,baking,debating,cultural_activities","research_oriented,competitive,hands_on,collaborative,diverse,helping_others,leadership,creative,goal_oriented,challenging,outdoor_work,detail_oriented,independent,sustainable"
STU_57060,15,Other,3.92,High,Academic,ABM – Accountancy Business and Management,2024-09-19 19:31:55.848328,78.9,51.4,90.7,67.6,57.2,80.9,79.9,60.5,60.3,72.7,61.2,81.0,66.7,82.3,57.6,65.0,71.2,69.1,55.0,64.9,67.2,44.9,62.5,27.6,67.2,69.9,71.2,54.1,64.6,81.4,"software,business,sustainability,learning,economics,finance,networking","fishing,various_activities,investing,reading_business,decorating,networking,baking","caring,adaptable,innovative,competitive,practical,analytical,skill_based,hands_on,collaborative,physical_work,leadership,goal_oriented,meaningful_work,challenging,independent"
STU_99140,15,Male,3.37,High,Academic,ABM – Accountancy Business and Management,2025-05-28 19:31:55.848371,81.7,62.1,93.1,37.5,55.2,80.0,91.8,65.5,37.4,81.5,51.2,65.0,47.9,71.7,29.0,78.3,54.0,62.4,60.0,44.0,41.1,44.9,49.2,65.5,48.1,86.2,75.4,72.1,58.2,82.7,"entrepreneurship,fashion,economics,construction,finance,history","gardening,farming,sewing,robotics,reading_business,planning,decorating,networking,debating","caring,analytical,skill_based,collaborative,physical_work,leadership,technical,service_oriented"
STU_77878,17,Other,3.5,Low,Academic,ABM – Accountancy Business and Management,2025-08-19 19:31:55.848413,81.7,62.5,89.0,69.6,52.9,52.0,88.4,70.7,54.1,66.1,56.9,69.4,87.1,70.0,53.6,54.2,80.3,59.5,46.4,68.4,53.9,41.6,46.6,86.0,65.8,61.6,56.3,64.4,64.2,64.4,"variety,entrepreneurship,engineering,software,business,cooking,psychology,economics,finance,history,research","gardening,exploring,various_activities,sewing,math_puzzles,investing,reading_business,networking,debating,reading","exploratory,practical,collaborative,diverse,goal_oriented,challenging,detail_oriented,service_oriented,sustainable"
STU_56444,17,Female,3.65,Middle,Academic,ABM – Accountancy Business and Management,2024-09-04 19:31:55.848454,90.7,60.3,72.2,50.8,30.3,90.4,90.6,47.5,55.8,75.6,83.1,38.7,61.7,80.9,72.4,58.4,33.6,56.2,45.4,61.2,81.5,33.9,48.0,51.7,54.3,71.1,57.4,66.2,50.6,63.4,"entrepreneurship,digital_media,business,economics,construction,nature,finance","computer_building,math_puzzles,volunteering,investing,outdoor_activities,reading_business,planning,networking,baking,debating,science_experiments","caring,environmental,innovative,competitive,physical,hands_on,collaborative,goal_oriented,meaningful_work"
STU_39095,16,Male,3.83,Middle,Academic,ABM – Accountancy Business and Management,2025-08-19 19:31:55.848496,74.7,71.7,82.5,75.7,57.0,65.7,81.6,58.6,63.9,87.4,41.3,81.5,32.1,75.2,58.6,66.2,83.6,32.1,52.4,28.1,60.5,64.1,83.9,61.8,75.7,68.8,53.5,38.9,64.1,37.6,"entrepreneurship,business,environment,management,diverse_fields,analysis,economics,construction,finance,research,interior_design","learning_new_things,gardening,exploring,fishing,tech_projects,reading_business,planning,animal_care,debating","exploratory,adaptable,flexible,competitive,physical,practical,collaborative,goal_oriented,challenging,detail_oriented,independent,service_oriented"
STU_39617,15,Female,4.0,Middle,Academic,ABM – Accountancy Business and Management,2024-10-05 19:31:55.848538,80.4,77.9,77.2,64.0,63.1,59.3,77.7,65.9,46.1,69.9,78.6,70.9,61.0,98.7,56.0,79.8,62.6,44.6,87.7,74.9,58.2,70.9,53.9,72.4,24.1,44.7,74.7,56.3,63.1,39.8,"entrepreneurship,business,management,economics,politics,construction,technology,finance","tech_projects,investing,outdoor_activities,reading_business,networking,app_development,baking,debating,reading","competitive,practical,collaborative,physical_work,leadership,goal_oriented,detail_oriented"
